分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
E,E0401,LC2,"7,551 ",1.10%,3.44%,6.05%,9.34%,12.61%,15.97%,18.94%,21.72%,25.32%,28.43%,32.18%,35.88%,39.27%,42.37%,46.17%
E,E0501,LC2,"9,251 ",0.81%,2.69%,5.29%,9.09%,12.57%,15.38%,18.64%,22.34%,25.95%,29.78%,34.01%,38.08%,41.92%,45.90%,52.30%
E,E0601,LC2,"6,103 ",0.80%,2.18%,4.24%,7.03%,9.44%,12.17%,15.19%,18.01%,20.61%,23.68%,26.04%,29.03%,31.84%,34.21%,37.77%
E,E0701,LC2,"7,730 ",2.10%,4.61%,7.58%,11.06%,14.94%,18.09%,21.18%,24.40%,28.27%,32.07%,35.51%,39.37%,43.97%,47.81%,53.91%
E,E0801,LC2,"4,134 ",0.90%,2.83%,5.30%,8.68%,11.95%,14.08%,16.86%,19.52%,23.00%,26.15%,29.70%,33.28%,36.45%,40.23%,44.75%
E,E0802,LC2,"3,020 ",0.66%,2.58%,5.43%,10.03%,14.90%,20.03%,24.07%,28.31%,31.92%,35.99%,39.97%,45.07%,49.47%,53.94%,59.77%
E,E0901,LC2,"11,479 ",0.97%,2.94%,5.92%,9.54%,12.90%,13.77%,20.00%,23.05%,26.97%,30.31%,34.03%,37.87%,41.41%,45.11%,48.69%
E,E1001,LC2,"2,193 ",1.05%,2.74%,4.83%,9.07%,12.54%,15.14%,17.51%,20.11%,23.35%,26.04%,29.05%,32.83%,35.98%,38.81%,42.64%
E,E1101,LC2,"8,520 ",1.07%,2.92%,5.15%,8.71%,11.10%,13.57%,16.64%,19.44%,22.19%,25.00%,27.73%,31.12%,34.53%,36.92%,41.00%
E,E1201,LC2,"4,726 ",1.18%,6.52%,9.29%,10.56%,12.15%,14.09%,16.69%,19.32%,22.39%,25.07%,28.27%,31.04%,33.79%,36.23%,39.65%
E,E1301,LC2,"6,506 ",0.77%,2.81%,5.12%,7.92%,11.47%,13.86%,16.75%,19.61%,22.43%,25.51%,28.77%,31.77%,34.75%,37.17%,40.81%
E,E1401,LC2,"10,013 ",0.80%,2.65%,4.48%,8.38%,12.51%,15.51%,18.46%,21.49%,25.46%,28.18%,30.81%,33.93%,36.79%,39.13%,42.13%
E,E1501,LC2,"5,494 ",0.67%,2.58%,5.06%,8.37%,11.45%,14.29%,16.98%,20.24%,23.04%,26.54%,29.29%,32.11%,35.42%,38.50%,42.30%
E,E1502,LC2,"2,388 ",1.17%,3.02%,4.86%,8.12%,12.69%,15.95%,19.93%,24.54%,28.06%,31.45%,34.46%,37.23%,40.70%,45.56%,49.83%
E,E1601,LC2,"7,049 ",0.48%,1.48%,2.98%,4.78%,7.32%,9.19%,11.35%,14.47%,16.92%,19.35%,21.39%,23.62%,25.98%,27.98%,30.73%
F,F0101,LC2,"4,890 ",1.12%,3.64%,6.83%,10.22%,13.66%,16.38%,18.88%,21.94%,25.83%,29.57%,32.78%,36.07%,39.39%,42.43%,46.69%
F,F0201,LC2,"6,135 ",0.95%,2.89%,4.78%,7.78%,10.46%,13.95%,17.49%,20.91%,24.34%,27.84%,31.17%,34.83%,38.50%,43.03%,49.88%
F,F0301,LC2,"9,478 ",0.96%,3.60%,6.29%,9.66%,12.49%,15.19%,18.14%,20.46%,23.19%,26.77%,30.21%,33.41%,36.55%,39.51%,43.48%
F,F0401,LC2,"6,563 ",1.42%,4.28%,6.84%,11.24%,14.57%,17.08%,19.85%,22.29%,25.66%,29.19%,32.97%,35.99%,39.19%,42.15%,45.19%
F,F0501,LC2,"6,451 ",1.07%,3.08%,5.16%,7.78%,10.40%,12.80%,15.69%,18.79%,21.14%,24.20%,27.96%,31.13%,34.15%,36.75%,40.41%
F,F0601,LC2,"7,098 ",1.23%,3.79%,6.66%,9.99%,12.54%,15.75%,18.64%,21.25%,24.27%,27.71%,30.98%,34.50%,37.43%,40.43%,43.86%
F,F0701,LC2,"6,044 ",0.73%,3.18%,6.11%,9.03%,11.45%,13.58%,15.78%,18.55%,21.49%,25.17%,28.28%,31.40%,35.01%,37.21%,43.85%
F,F0801,LC2,"7,681 ",1.84%,5.40%,7.95%,11.17%,13.84%,16.03%,18.45%,20.70%,23.42%,26.70%,29.77%,33.11%,37.27%,42.17%,47.08%
F,F0901,LC2,"9,577 ",1.59%,4.88%,8.04%,12.36%,15.24%,19.43%,22.63%,25.68%,29.53%,33.38%,36.67%,40.37%,44.30%,47.66%,50.76%
F,F1001,LC2,"10,577 ",2.17%,5.14%,8.26%,11.86%,14.82%,17.35%,20.39%,22.83%,26.07%,29.62%,33.42%,36.85%,39.89%,43.15%,47.62%
F,F1101,LC2,"7,721 ",1.54%,4.09%,6.83%,9.96%,13.34%,16.68%,20.08%,23.02%,26.24%,29.88%,33.79%,39.28%,42.99%,47.60%,55.20%
F,F1201,LC2,"7,679 ",0.96%,3.06%,6.38%,10.83%,15.03%,18.13%,21.33%,24.60%,28.99%,33.19%,37.84%,42.08%,46.35%,51.17%,57.14%
F,F1301,LC2,"7,214 ",1.18%,3.55%,6.90%,11.82%,15.62%,19.96%,24.22%,27.96%,31.95%,35.69%,39.94%,43.01%,46.73%,51.01%,55.03%
F,F1401,LC2,"7,823 ",1.07%,3.21%,5.66%,10.34%,15.75%,19.00%,23.21%,27.15%,30.73%,34.99%,37.85%,40.61%,43.87%,48.08%,53.32%
F,F1501,LC2,"5,797 ",0.69%,3.05%,5.74%,10.71%,15.25%,19.32%,24.10%,28.31%,32.83%,36.48%,40.90%,45.18%,49.25%,53.82%,59.63%
F,F1601,LC2,"10,042 ",1.63%,5.12%,9.02%,12.10%,15.30%,17.20%,19.77%,21.98%,24.53%,27.86%,30.97%,33.89%,37.22%,40.03%,44.40%
F,F1701,LC2,"9,438 ",0.97%,3.39%,7.07%,10.90%,14.18%,17.34%,20.31%,23.24%,26.41%,29.49%,32.90%,36.48%,39.66%,43.00%,47.73%
F,F1801,LC2,"6,229 ",1.22%,4.21%,8.30%,11.16%,13.95%,16.50%,19.26%,21.54%,24.40%,27.77%,31.27%,34.66%,37.61%,42.00%,45.61%
F,F1901,LC2,"5,071 ",0.47%,1.26%,2.27%,3.63%,5.13%,5.98%,7.00%,8.20%,9.49%,10.55%,14.20%,39.32%,42.61%,47.51%,53.46%
F,F2001,LC2,"11,211 ",0.70%,3.03%,5.90%,9.45%,12.38%,15.16%,17.56%,19.71%,22.61%,25.39%,28.97%,32.25%,35.70%,39.09%,43.93%
F,F2101,LC2,"6,105 ",0.87%,3.95%,6.72%,10.06%,12.50%,14.51%,17.44%,20.46%,23.60%,26.47%,29.76%,33.01%,36.72%,40.21%,44.19%
F,F2102,LC2,"4,271 ",1.50%,4.10%,6.51%,10.49%,13.63%,15.90%,19.64%,22.22%,26.11%,29.31%,33.08%,37.49%,41.40%,45.91%,51.02%
G,G0101,LC2,"5,200 ",0.96%,2.94%,6.15%,9.33%,12.94%,15.67%,18.71%,22.00%,24.81%,28.65%,31.88%,35.46%,38.08%,42.02%,47.96%
G,G0201,LC2,"8,254 ",1.18%,3.08%,6.83%,8.59%,11.79%,14.78%,17.79%,21.02%,24.10%,26.94%,29.86%,33.49%,37.41%,40.90%,46.32%
G,G0301,LC2,"5,813 ",1.36%,4.23%,7.07%,11.68%,15.50%,18.39%,21.56%,23.81%,27.01%,30.52%,34.11%,37.35%,40.72%,44.30%,47.70%
G,G0401,LC2,"9,668 ",2.22%,4.38%,7.39%,11.84%,14.65%,17.06%,20.24%,22.69%,26.19%,29.96%,33.48%,36.92%,40.25%,44.05%,47.88%
