,Counts
"('28/05/2014-282', 'Present')",7
"('29/05/2014-473', 'Present')",7
"('21/05/2015-109', 'Present')",7
"('29/05/2014-474', 'Present')",7
"('28/05/2014-356', 'Present')",7
"('23/05/2014-86', 'Present')",7
"('29/05/2014-479', 'Present')",7
"('29/05/2014-597', 'Present')",7
"('28/05/2014-337', 'Present')",7
"('29/05/2014-401', 'Present')",7
"('04/06/2014-1009', 'Present')",7
"('30/05/2014-862', 'Present')",7
"('04/06/2014-1010', 'Present')",7
"('21/05/2015-238', 'Present')",7
"('29/05/2014-404', 'Present')",7
"('28/05/2014-346', 'Present')",7
"('28/05/2014-340', 'Present')",7
"('28/05/2014-330', 'Present')",7
"('22/05/2015-374', 'Present')",7
"('23/05/2014-74', 'Present')",7
"('16/05/2013-673', 'Present')",7
"('27/05/2015-476', 'Present')",7
"('28/05/2014-274', 'Present')",7
"('04/06/2014-1000', 'Present')",7
"('30/05/2014-780', 'Present')",7
"('29/05/2014-511', 'Present')",7
"('21/05/2015-315', 'Present')",7
"('21/05/2015-275', 'Present')",7
"('11/05/2016-23', 'Present')",7
"('28/05/2015-493', 'Present')",7
"('29/05/2014-541', 'Present')",7
"('29/05/2014-467', 'Present')",7
"('29/05/2014-493', 'Present')",7
"('16/05/2013-676', 'Present')",7
"('29/05/2014-513', 'Present')",7
"('30/05/2014-738', 'Present')",7
"('21/05/2015-112', 'Present')",7
"('29/05/2014-424', 'Present')",7
"('29/05/2014-484', 'Present')",7
"('29/05/2014-512', 'Present')",7
"('28/05/2014-344', 'Present')",7
"('29/05/2014-652', 'Present')",7
"('16/05/2013-513', 'Present')",7
"('30/05/2014-775', 'Present')",7
"('29/05/2014-538', 'Present')",7
"('30/05/2014-877', 'Present')",7
"('29/05/2014-458', 'Present')",7
"('29/05/2014-462', 'Present')",7
"('23/05/2014-58', 'Present')",7
"('30/05/2014-848', 'Present')",7
"('29/05/2014-539', 'Present')",7
"('16/05/2013-485', 'Present')",7
"('29/05/2014-674', 'Present')",7
"('22/05/2015-355', 'Present')",7
"('29/05/2014-407', 'Present')",7
"('28/05/2014-329', 'Present')",7
"('23/05/2014-88', 'Present')",7
"('28/05/2014-225', 'Present')",7
"('23/05/2014-83', 'Present')",7
"('29/05/2014-528', 'Present')",7
"('29/05/2014-398', 'Present')",7
"('28/05/2014-273', 'Present')",7
"('23/05/2014-76', 'Present')",7
"('21/05/2015-301', 'Present')",7
"('30/05/2014-859', 'Present')",7
"('21/05/2015-126', 'Present')",7
"('30/05/2014-868', 'Present')",7
"('04/06/2014-1011', 'Present')",7
"('22/05/2015-410', 'Present')",7
"('28/05/2014-90', 'Present')",7
"('29/05/2014-679', 'Present')",7
"('29/05/2014-439', 'Present')",7
"('30/05/2014-724', 'Present')",7
"('29/05/2014-436', 'Present')",7
"('23/05/2014-60', 'Present')",7
"('21/05/2015-151', 'Present')",7
"('23/05/2014-63', 'Present')",7
"('28/05/2014-227', 'Present')",7
"('16/05/2013-677', 'Present')",7
"('27/05/2015-449', 'Present')",7
"('04/06/2014-1003', 'Present')",7
"('29/05/2014-545', 'Present')",7
"('21/05/2015-138', 'Present')",7
"('29/05/2014-475', 'Present')",7
"('23/05/2014-87', 'Present')",7
"('29/05/2014-426', 'Present')",7
"('28/05/2014-345', 'Present')",7
"('29/05/2014-649', 'Present')",7
"('29/05/2014-547', 'Present')",7
"('22/05/2015-403', 'Present')",7
"('28/05/2014-93', 'Present')",7
"('28/05/2014-164', 'Present')",7
"('21/05/2015-276', 'Present')",7
"('21/05/2015-302', 'Present')",7
"('29/05/2014-440', 'Present')",7
"('27/05/2015-482', 'Present')",7
"('30/05/2014-852', 'Present')",7
"('29/05/2014-544', 'Present')",7
"('16/05/2013-501', 'Present')",7
"('20/05/2015-47', 'Present')",7
"('28/05/2014-218', 'Present')",7
"('30/05/2014-811', 'Present')",7
"('30/05/2014-779', 'Present')",7
"('16/05/2013-491', 'Present')",7
